srlkk,metric,sentence
"{'verbs': [{'verb': 'үнін', 'description': {'V': 'үнін', 'Arg(агенс)': 'журналистер', 'Arg(результат)': 'мақсаттарына', 'Arg(пациенс)': 'басқалардың'}, 'tags': ['O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(результат)', 'O', 'Arg(пациенс)', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'Arg(содержание мысли)': 'арқылы', 'Arg(способ)': 'жаруға'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(способ)', 'O', 'O', 'O', 'Arg(содержание мысли)', 'O']}], 'words': ['Айдауға', 'көнбеген', 'батыл', 'журналистер', 'өмірлерін', 'құрбан', 'етті,', 'сөйтіп', 'картель', 'айналасындағы', 'қылмыскерлер', 'мақсаттарына', 'жетіп,', 'басқалардың', 'үнін', 'өшірді.', 'Іс', 'жүзінде,', 'Мексика', 'журналистерінің', 'көпшілігі', 'ашықтық', 'пен', 'демократияны', 'тұншықтыратын', '“тіс', 'жаруға', 'болмайтын”', 'тақырыптарды', 'түйсік', 'арқылы', 'біледі.'], 'metric': 0.65}",0,"Айдауға көнбеген батыл журналистер өмірлерін құрбан етті, сөйтіп картель айналасындағы қылмыскерлер мақсаттарына жетіп, басқалардың үнін өшірді. Іс жүзінде, Мексика журналистерінің көпшілігі ашықтық пен демократияны тұншықтыратын “тіс жаруға болмайтын” тақырыптарды түйсік арқылы біледі."
"{'verbs': [{'verb': 'атау', 'description': {'V': 'атау', 'Arg(содержание высказывания)': 'күні', 'Arg(эталон)': 'қылмыстардағы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(эталон)', 'O', 'O', 'Arg(содержание высказывания)', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['2013', 'жылы', 'Біріккен', 'Ұлттар', 'Ұйымы', 'қарашаның', '2-сін', 'Журналистерге', 'қарсы', 'қылмыстардағы', 'жазасыздықты', 'болдырмау', 'күні', 'деп', 'атау', 'арқылы', 'бұл', 'мәселеге', 'бүкіл', 'әлемнің', 'назарын', 'аударуға', 'тырысты.'], 'metric': 0.75}",0,2013 жылы Біріккен Ұлттар Ұйымы қарашаның 2-сін Журналистерге қарсы қылмыстардағы жазасыздықты болдырмау күні деп атау арқылы бұл мәселеге бүкіл әлемнің назарын аударуға тырысты.
"{'verbs': [{'verb': 'Осы', 'description': {'V': 'Осы', 'Arg(агенс)': 'ұйым', 'Arg(способ)': 'арқылы'}, 'tags': ['O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(способ)', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'бері', 'description': {'V': 'бері', 'Arg(пациенс)': 'көптен'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'O', 'O', 'O']}], 'words': ['Біздің', 'ұйым', 'жыл', 'сайын', 'шығатын', '“Жаһандық', 'жазасыздық', 'индексі”', 'арқылы', 'осы', 'бастамаға', 'қолдау', 'білдіреді.', 'Осы', 'индекс', 'көрсеткеніндей,', 'Мексика,', 'Бразилия,', 'Үндістан,', 'Пәкістан', 'және', 'Филиппин', 'сияқты', 'демократиялық', 'елдер', 'журналистерді', 'өлтіргендерді', 'көптен', 'бері', 'жазалай', 'алмай', 'келеді.'], 'metric': 0.83}",0,"Біздің ұйым жыл сайын шығатын “Жаһандық жазасыздық индексі” арқылы осы бастамаға қолдау білдіреді. Осы индекс көрсеткеніндей, Мексика, Бразилия, Үндістан, Пәкістан және Филиппин сияқты демократиялық елдер журналистерді өлтіргендерді көптен бері жазалай алмай келеді."
"{'verbs': [{'verb': '', 'description': {'Arg(субъект ментального состояния)': 'журналистер', 'Arg(пациенс)': 'аузына', 'Arg(эталон)': 'түрлерінің'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(эталон)', 'O', 'Arg(субъект ментального состояния)', 'O', 'O']}], 'words': ['Демократия', 'мен', 'баспасөз', 'бостандығының', 'бір-біріне', 'тәуелді', 'екенін', 'және', 'тілшілердің', 'аузына', 'қақпақ', 'қойылса,', 'ақша', 'жымқыру,', 'бопсалау', 'және', 'экологиялық', 'құқық', 'бұзу', 'сияқты', 'қылмыс', 'түрлерінің', 'артатынын', 'журналистер', 'жақсы', 'біледі.'], 'metric': 0.5}",0,"Демократия мен баспасөз бостандығының бір-біріне тәуелді екенін және тілшілердің аузына қақпақ қойылса, ақша жымқыру, бопсалау және экологиялық құқық бұзу сияқты қылмыс түрлерінің артатынын журналистер жақсы біледі."
,0,Күресуге тырысып жатқандар аз-маз көмекке арқа сүйей алады.
"{'verbs': [{'verb': '', 'description': {'Arg(тема)': 'санкция.'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)']}], 'words': ['Жазасыздықпен', 'күрестегі', 'ең', 'қуатты', 'құралдардың', 'бірі', '–', 'санкция.'], 'metric': 0.5}",0,Жазасыздықпен күрестегі ең қуатты құралдардың бірі – санкция.
"{'verbs': [{'verb': 'бұғаттау', 'description': {'V': 'бұғаттау', 'Arg(пациенс)': 'активтерін'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'O', 'O']}], 'words': ['АҚШ-та', '2016', 'жылы', 'Магнитский', 'ісі', 'негізінде', 'қабылданған', 'Адам', 'құқықтары', 'бойынша', 'жауапкершілік', 'актісі', 'АҚШ', 'президентіне', 'адам', 'құқықтарын', 'өрескел', 'бұзды', 'деп', 'айыпталған', 'шетелдіктерге', 'виза', 'беруге', 'тыйым', 'салып,', 'активтерін', 'бұғаттау', 'құқығын', 'берді.'], 'metric': 0.5}",0,"АҚШ-та 2016 жылы Магнитский ісі негізінде қабылданған Адам құқықтары бойынша жауапкершілік актісі АҚШ президентіне адам құқықтарын өрескел бұзды деп айыпталған шетелдіктерге виза беруге тыйым салып, активтерін бұғаттау құқығын берді."
"{'verbs': [{'verb': 'қабылдады,', 'description': {'V': 'қабылдады,'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Канада', '2017', 'жылдың', 'қазанында', 'өз', 'Магнитсий', 'заңын', 'қабылдады,', 'Эстония,', 'Литва,', 'Латвия', 'және', 'Ұлыбритания', 'соған', 'ұқсас', 'шараларды', 'қолға', 'алды.'], 'metric': 0.33}",0,"Канада 2017 жылдың қазанында өз Магнитсий заңын қабылдады, Эстония, Литва, Латвия және Ұлыбритания соған ұқсас шараларды қолға алды."
,0,Бірақ заң қабылдау – оны қолдану емес.
,0,"“Форбс” редакторы Пол Хлебниковтың 2004 жылы Мәскеуде өлтірілуіне қатысты істі қоспағанда, журналистерді қорғауда Магнитский заңы сияқты заңдардың қолданылуы өте сирек."
"{'verbs': [{'verb': '', 'description': {'Arg(содержание действия)': 'құралдарын'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(содержание действия)', 'O', 'O', 'O']}], 'words': ['Демократияны', 'сақтауға', 'міндеттеме', 'алған', 'елдердің', 'үкіметтері', 'еркін', 'баспасөзді', 'жақтап,', 'басын', 'бәйгеге', 'тігетін', 'журналистерді', 'қорғауда', 'қолда', 'бар', 'құралдарын', 'пайдаланудан', 'тайсақтамауы', 'тиіс.'], 'metric': 0.33}",0,"Демократияны сақтауға міндеттеме алған елдердің үкіметтері еркін баспасөзді жақтап, басын бәйгеге тігетін журналистерді қорғауда қолда бар құралдарын пайдаланудан тайсақтамауы тиіс."
,0,"Әсіресе, Еуропа елдері үкіметтері ұлттық және Еуроодақ деңгейіндегі міндеттемелердің орындалуын қамтамасыз етуге жауапты."
,0,Баспасөз бостандығы ұйымдары да жазасыздықты жоюға көбірек үлес қоса алады.
"{'verbs': [{'verb': 'айналып', 'description': {'V': 'айналып', 'Arg(содержание высказывания)': 'қылмыс', 'Arg(субъект ментального состояния)': 'үкіметке', 'Arg(предмет высказывания)': 'шабуылды'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'Arg(предмет высказывания)', 'O', 'Arg(содержание высказывания)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Мәселен,', 'Мексикада', 'тілшілермен', 'тізе', 'қосқан', 'Журналистерді', 'қорғау', 'комитеті', 'үкіметке', 'журналистерге', 'жасалған', 'шабуылды', 'федералдық', 'қылмыс', 'деп', 'танитын,', 'егер', 'жемқорлық', 'жасады', 'деген', 'күдікке', 'ілінсе,', 'штат', 'деңгейіндегі', 'құқық', 'қорғау', 'мекемелерін', 'айналып', 'өтуге', 'мүмкіндік', 'беретін', 'ережені', 'қабылдатқызды.'], 'metric': 0.57}",0,"Мәселен, Мексикада тілшілермен тізе қосқан Журналистерді қорғау комитеті үкіметке журналистерге жасалған шабуылды федералдық қылмыс деп танитын, егер жемқорлық жасады деген күдікке ілінсе, штат деңгейіндегі құқық қорғау мекемелерін айналып өтуге мүмкіндік беретін ережені қабылдатқызды."
"{'verbs': [{'verb': 'енгізді.', 'description': {'V': 'енгізді.', 'Arg(агенс)': 'үкімет'}, 'tags': ['O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V']}], 'words': ['Федералдық', 'үкімет', 'ой', 'еркіндігіне', 'қарсы', 'қылмыстар', 'бойынша', 'арнайы', 'прокурор', 'лауазымын', 'енгізді.'], 'metric': 1.0}",0,Федералдық үкімет ой еркіндігіне қарсы қылмыстар бойынша арнайы прокурор лауазымын енгізді.
,0,"Дегенмен, бұл прокуратураға қаржы аз бөлінгендіктен, кішкене жеңістен соң кері шегініс бола ма деген қауіп бар."
"{'verbs': [{'verb': '', 'description': {'Arg(агенс)': 'үкіметі'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Жаңа', 'президент', 'болып', 'сайланған', 'Андрес', 'Мануэль', 'Лопес', 'Обрадордың', 'үкіметі', 'арнайы', 'прокурордың', 'кеңсесін', 'толық', 'қаржыландырғанда', 'ғана', 'жазасыздықтың', 'тамырына', 'балта', 'шаба', 'алады.'], 'metric': 0.25}",0,Жаңа президент болып сайланған Андрес Мануэль Лопес Обрадордың үкіметі арнайы прокурордың кеңсесін толық қаржыландырғанда ғана жазасыздықтың тамырына балта шаба алады.
"{'verbs': [{'verb': '', 'description': {'Arg(потенциальный пациенс)': 'өздері'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(потенциальный пациенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Үкіметтер', 'екіойлы', 'болып', 'отырғанда', 'журналистер', 'өздері', 'білетін', 'жалғыз', 'әдіс', '–', 'журналистиканың', 'көмегімен', 'өз-өздерін', 'қорғап', 'жатыр.'], 'metric': 0.25}",0,Үкіметтер екіойлы болып отырғанда журналистер өздері білетін жалғыз әдіс – журналистиканың көмегімен өз-өздерін қорғап жатыр.
"{'verbs': [{'verb': '', 'description': {'Arg(содержание мысли)': 'айқын'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(содержание мысли)', 'O']}], 'words': ['Каруана', 'Галиция', 'мен', 'Куцяктың', 'қазасына', 'бірлесе', 'жауап', 'қату', '–', 'соның', 'айқын', 'айғағы.'], 'metric': 0.5}",0,Каруана Галиция мен Куцяктың қазасына бірлесе жауап қату – соның айқын айғағы.
"{'verbs': [{'verb': 'айғақтаманы', 'description': {'V': 'айғақтаманы'}, 'tags': ['O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Екеуі', 'де', 'халықаралық', 'журналистік', 'айғақтама', 'ұймдарының', 'мүшелері', 'болатын,', 'қазір', 'бұл', 'топтар', 'киллерлер', 'үзіп', 'тастаған', 'айғақтаманы', 'әрі', 'қарай', 'жалғастырып,', 'аяғына', 'жеткізуге', 'тырысып', 'жатыр.'], 'metric': 0.5}",0,"Екеуі де халықаралық журналистік айғақтама ұймдарының мүшелері болатын, қазір бұл топтар киллерлер үзіп тастаған айғақтаманы әрі қарай жалғастырып, аяғына жеткізуге тырысып жатыр."
"{'verbs': [{'verb': 'мақаласын', 'description': {'V': 'мақаласын', 'Arg(пациенс)': 'оның'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'O', 'O']}], 'words': ['Ықтимал', 'қаскөйлерге', 'айтарымыз:', 'журналисті', 'өлтірсең', 'де,', 'оның', 'мақаласын', 'өлтіре', 'алмайсың.'], 'metric': 0.5}",0,"Ықтимал қаскөйлерге айтарымыз: журналисті өлтірсең де, оның мақаласын өлтіре алмайсың."
"{'verbs': [{'verb': '', 'description': {'Arg(агенс)': 'адамдардың', 'Arg(сфера)': 'мекемелеріне'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'Arg(сфера)', 'O', 'O', 'O', 'O']}], 'words': ['Бұл', 'межеге', 'жету', 'үшін', 'бойында', 'аурудың', 'симптомдары', 'бар', 'немесе', 'жұқтыру', 'қаупі', 'жоғары', 'адамдардың', 'емдеу', 'мекемелеріне', 'баруға', 'мүмкіндігі', 'болуы', 'керек.'], 'metric': 0.5}",0,Бұл межеге жету үшін бойында аурудың симптомдары бар немесе жұқтыру қаупі жоғары адамдардың емдеу мекемелеріне баруға мүмкіндігі болуы керек.
"{'verbs': [{'verb': 'байланысты.', 'description': {'V': 'байланысты.', 'Arg(пациенс)': 'пайызы'}, 'tags': ['O', 'O', 'O', 'Arg(пациенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'беріледі.', 'description': {'V': 'беріледі.', 'Arg(пациенс)': 'дәрі'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V']}], 'words': ['АИВ-ға', 'шалдыққандардың', '90', 'пайызы', 'тексеруден', 'өткен', 'соң', 'екінші', '90-ды', 'бағындыру', 'қаржының', 'бөлінуі', 'мен', 'тиісті', 'қызметкерлердің', 'болуына', 'байланысты.', 'Денсаулық', 'саласына', 'лайықты', 'қаражат', 'бөлінсе,', 'вирус', 'жұқтырғандардың', 'бәріне', 'дәрі', 'беріледі.'], 'metric': 0.83}",0,"АИВ-ға шалдыққандардың 90 пайызы тексеруден өткен соң екінші 90-ды бағындыру қаржының бөлінуі мен тиісті қызметкерлердің болуына байланысты. Денсаулық саласына лайықты қаражат бөлінсе, вирус жұқтырғандардың бәріне дәрі беріледі."
"{'verbs': [{'verb': '', 'description': {'Arg(причина)': 'қабылдап'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Үшінші', '90-ға', 'жету', '(вирустың', 'белсенділігін', 'төмендету)', 'АРВ', 'емін', 'қабылдап', 'жатқандардың', 'дәріні', 'уақытында', 'ішуіне', 'байланысты', 'болмақ.'], 'metric': 0.25}",0,Үшінші 90-ға жету (вирустың белсенділігін төмендету) АРВ емін қабылдап жатқандардың дәріні уақытында ішуіне байланысты болмақ.
"{'verbs': [{'verb': 'толық', 'description': {'V': 'толық', 'Arg(причина)': 'аурудан', 'Arg(пациенс)': 'ынталандырып,', 'Arg(эталон)': 'де'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'V', 'O', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'Arg(пациенс)', 'O', 'O', 'V', 'O', 'O', 'O', 'O']}], 'words': ['Бұл', 'үшін', 'әлеуметтік', 'қызметкерлер', 'науқастарды', 'аурудан', 'толық', 'айығып', 'кетсе', 'де', 'дәріні', 'ішіп', 'жүруге', 'ынталандырып,', 'оларды', 'дәрімен', 'толық', 'қамтамасыз', 'етіп', 'отыруы', 'керек.'], 'metric': 1.0}",0,"Бұл үшін әлеуметтік қызметкерлер науқастарды аурудан толық айығып кетсе де дәріні ішіп жүруге ынталандырып, оларды дәрімен толық қамтамасыз етіп отыруы керек."
"{'verbs': [{'verb': '90-90-90', 'description': {'V': '90-90-90'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Тіпті', 'медициналық', 'қызметпен', 'қамтылмаған', 'кедей', 'тұрғындардың', 'арасында', 'да', 'смартфонның', 'көмегіне', 'сүйенетін', 'қоғамдық', 'денсаулық', 'қызметкерлерінің', 'арқасында', '90-90-90', 'межесіне', 'жетуге', 'болады.'], 'metric': 0.5}",0,Тіпті медициналық қызметпен қамтылмаған кедей тұрғындардың арасында да смартфонның көмегіне сүйенетін қоғамдық денсаулық қызметкерлерінің арқасында 90-90-90 межесіне жетуге болады.
"{'verbs': [{'verb': '', 'description': {'Arg(срок)': 'бар,', 'Arg(цель)': 'тапсыру', 'Arg(эффектор)': 'оларды', 'Arg(сфера)': 'қабылдату'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(срок)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(эффектор)', 'O', 'Arg(цель)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(сфера)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Кем', 'дегенде', 'орта', 'білімі', 'бар,', 'АИВ', 'жұқтыруы', 'мүмкін', 'деген', 'адамдарды', 'анықтап,', 'оларды', 'анализ', 'тапсыру', 'үшін', 'емханаға', 'әкелу,', 'медициналық', 'ем-домды', 'уақытында', 'қабылдату', 'сияқты', 'шараларға', 'машықтандыратын', 'бірнеше', 'айлық', 'тренингтен', 'өткен', 'адамдар', 'қоғамдық', 'денсаулық', 'қызметкерлері', 'болуы', 'керек.'], 'metric': 0.36}",0,"Кем дегенде орта білімі бар, АИВ жұқтыруы мүмкін деген адамдарды анықтап, оларды анализ тапсыру үшін емханаға әкелу, медициналық ем-домды уақытында қабылдату сияқты шараларға машықтандыратын бірнеше айлық тренингтен өткен адамдар қоғамдық денсаулық қызметкерлері болуы керек."
"{'verbs': [{'verb': '', 'description': {'Arg(агенс)': 'бағдарлама', 'Arg(пациенс)': 'жұмысын'}, 'tags': ['O', 'O', 'O', 'Arg(агенс)', 'O', 'Arg(пациенс)', 'O']}], 'words': ['Смартфонға', 'орнатылған', 'арнайы', 'бағдарлама', 'олардың', 'жұмысын', 'жеңілдетеді.'], 'metric': 0.5}",0,Смартфонға орнатылған арнайы бағдарлама олардың жұмысын жеңілдетеді.
,0,"Африканың дәрігерлері өте аз, ЖИТС-қа шалдыққандары көп ауылдық жерлерінде қоғамдық денсаулық қызметкерлерінің адам өмірін сақтаудағы рөлі орасан зор екені дәлелденген."
