	kk	ba	en	ru	tt	en_original
13	Америка бұл үрдістің басында болғанымен, басқа жерлерде жағдай бұдан аса жақсы емес.	Америка был тенденцияның авангардында булһа ла, башҡа урындарҙа хәл күпкә яҡшыраҡ түгел.	While America is at the forefront of this trend, elsewhere things are no better.	Хотя Америка находится в авангарде этой тенденции, в других местах ситуация не намного лучше.	Америка бу тенденциянең алгы сафында булса да, бүтән урыннарда хәл яхшырак түгел.	And while America might be at the extreme of this trend, things were little better elsewhere.
14	Саяси салдардың болуы анық көрінгенімен, олардың нысаны мен мерзімдері әлдеқайда айқын болмады.	Сәйәси эҙемтәләр булыу асыҡ күренһә лә, уларҙың формаһы һәм ваҡыты аҙыраҡ асыҡ күренә.	Although the existence of political consequences seemed obvious, their form and timing were not much clearer.	Хотя наличие политических последствий казалось очевидным, их форма и сроки были менее очевидны.	Сәяси нәтиҗәләр ачык күренсә дә, аларның формасы һәм вакыты азрак ачык иде.	But, if it seemed clear that there would be political consequences, their form and timing were far less obvious.
15	Бұрын емес, ал дәл экономика түзетіліп келе жатқанда, АҚШ-та неге саяси қарсылық пайда болды?	Иртәрәк түгел, ә тап иҡтисад үҙгәргәс, НИ ӨСӨН АҠШ-та сәйәси ҡаршылыҡ барлыҡҡа килде?	Not before, and precisely when the economy was on the mend, why did political resistance arise in the United States?	Не раньше, а именно когда экономика поправлялась, почему в США возникло политическое сопротивление?	Элегрәк түгел, ә икътисад яхшыргач, ни өчен АКШТА сәяси каршылык барлыкка килде?	Why did the backlash in the US come just when the economy seemed to be on the mend, rather than earlier?
16	Және неге ол оңға қарай бет алды?	Һәм ни өсөн ул уңға киткән?	And why did he go to the right?	И почему он пошел направо?	Нигә ул уңга китте?	And why did it manifest itself in a lurch to the right?
17	Негізі, өздері қатты жақтаған жаһандану нәтижесінде жұмыс орындарын жоғалтқан адамдарға ұсынылатын көмекті бұғаттаған республикашылдар болды.	Асылда, тап республика халҡы глобалләшеү һөҙөмтәһендә эш урындарын юғалтҡан кешеләргә тәҡдим ителгән ярҙамды бикләне.	In fact, it was the Republicans who blocked the help offered to people who lost their jobs as a result of globalization, which they strongly advocated.	По сути, именно республиканцы заблокировали помощь, предлагаемую людям, потерявшим рабочие места в результате глобализации, за которую они яростно выступали.	Асылда, нәкъ менә республиканнар глобальләштерү нәтиҗәсендә эш урыннарын югалткан кешеләргә тәкъдим ителгән ярдәмне блокладылар, алар өчен.	After all, it was the Republicans who had blocked assistance to those losing their jobs as a result of the globalization they pushed assiduously.
18	26 штатта, медициналық көмекті кеңейтуге республиканшылдар қарсы болып, осылайша жағдайлары төмен адамдарға медициналық сақтандыру берілмеді.	26 штатта республика халҡы медицина ярҙамын киңәйтеүгә ҡаршы сығыш яһаны, шулай итеп, түбән шарттары булған кешеләргә медицина страховкаһы бирмәне.	In 26 states, the expansion of health care was opposed by Republicans, thus not providing health insurance to people with low conditions.	В 26 штатах республиканцы выступили против расширения медицинской помощи и, таким образом, не предоставили медицинскую страховку людям с низкими условиями.	26 штатта республиканнар медицина ярдәмен киңәйтүгә каршы тордылар һәм шулай итеп аз шартлы кешеләргә медицина страховкасы бирмәделәр.	It was the Republicans who, in 26 states, refused to allow the expansion of Medicaid, thereby denying health insurance to those at the bottom.
19	Және басқаларды пайдалана отырып өмір сүрген, ашық түрде салықты төлемегенін мойындап және салықтан жалтаруды мақтаныш қылған біреу қалайша жеңіске жетті?	Башҡаларҙы файҙаланып, кем йәшәгәнен асыҡтан-асыҡ таныған һәм һалым түләүҙән ҡасып йөрөүе менән ғорурланған?	And how did someone who lived using others, openly admitting that he did not pay taxes and proud of tax evasion win?	И как мог кто-то, кто жил, используя других, открыто признавал, что не платил налоги, и гордился тем, что уклонялся от уплаты налогов?	Башкаларны кулланып яшәгән кеше салымнар түләмәгәнен һәм салым түләүдән качуы белән ничек горурланган?	And why was the victor somebody who made his living from taking advantage of others, openly admitted not paying his fair share of taxes, and made tax avoidance a point of pride?
20	Дональд Трамп заман үрдісін дәл тапты: жағдай жақсы болмады, және көптеген сайлаушылар өзгерісті қалады.	Дональд Трамп ваҡыт трендын тапты: эштәр шәп барманы, һайлаусыларҙың күбеһе үҙгәрештәр теләне.	Donald Trump accurately found the trend of the times: things were not going well, and many voters wanted change.	Дональд Трамп точно нашел тренд времени: дела шли не очень хорошо, и многие избиратели хотели перемен.	Дональд Трамп вакыт тенденциясен төгәл тапты: эшләр бик яхшы бармады һәм күп сайлаучылар үзгәрешләр теләделәр.	Donald Trump grasped the spirit of the time: things weren’t going well, and many voters wanted change.
21	Енді олардың тілегі орындалады- ешқандай іс әдеттегідей болмайды.	Хәҙер уларҙың теләге тормошҡа ашасаҡ-бер эш тә ғәҙәти булмаясаҡ.	Now their wish will come true-no business will be as usual.	Теперь их желание сбудется-ни одно дело не будет обычным.	Хәзер аларның теләге тормышка ашачак-бер генә эш тә гадәти булмаячак.	Now they will get it: there will be no business as usual.
22	Бірақ мұндай белгісіздік әлі болмаған.	Әммә бындай билдәһеҙлек әлегә булманы.	But there was no such uncertainty yet.	Но такой неопределенности еще не было.	Ләкин мондый билгесезлек әле юк иде.	But seldom has there been more uncertainty.
23	Трамп қандай саясат жүргізетіні, олардың қайсысы табысқа жетеді немесе олардың салдары қандай болады - мұның бәрі белгісіз болып тұр.	Ниндәй сәйәсмәндәр үткәрергә Трамп, ниндәй улар уңышлы булыр йәки ниндәй эҙемтәләре булыр - былар барыһы ла билдәһеҙ ҡала.	What policies Trump will pursue, which of them will succeed or what will be their consequences - all this remains unknown.	Какие политики будет проводить Трамп, какие из них будут успешными или каковы будут их последствия - все это остается неясным.	Трампның нинди политикасы булачак, кайсысы уңышлы булыр, яисә аларның нәтиҗәләре нинди булыр-болар барысы да аңлашылмый кала.	Which policies Trump will pursue remains unknown, to say nothing of which will succeed or what the consequences will be.
24	Трамп қалай болса да сауда соғысын жасайтындай.	Трамп кеүек үк сауҙа һуғышын алып бара.	As if Trump is going to wage a trade war anyway.	Как будто Трамп каким-то образом ведет торговую войну.	Трамп ничектер сәүдә Сугышы алып барган кебек.	Trump seems hell-bent on having a trade war.
25	Бірақ Қытай мен Мексика қандай жауап қайтарады?	Әммә ҡытай һәм Мексика ниндәй яуап яуап бирәсәк?	But what kind of response will China and Mexico respond?	Но какой ответ ответят Китай и Мексика?	Ләкин Кытай һәм Мексика нинди җавап бирер?	But how will China and Mexico respond?
26	Трамп өзінің ұсыныстары Дүниежүзілік сауда ұйымы ережесін бұзатынын түсінуі-ақ мүмкін, бірақ ол сондай-ақ, ДСҰ оған қарсы шығуы үшін ұзақ уақыт қажет екенін білетін шығар.	Трамп аңларға мөмкин, уның тәҡдимдәр боҙа ҡағиҙәләрен Бөтә Донъя сауҙа ойошмаһы, әммә ул, моғайын, беләһеңме, күп ваҡыт талап ителәсәк, уға саҡырыу ташлай.	Trump may well understand that his proposals violate the rules of the World Trade Organization, but he also knows that it will take a long time for the WTO to challenge him.	Трамп может понять, что его предложения нарушают правила Всемирной торговой организации, но он также, вероятно, знает, что ВТО потребуется много времени, чтобы бросить ему вызов.	Трамп аның тәкъдимнәре Бөтендөнья сәүдә оешмасы кагыйдәләрен бозганын аңларга мөмкин, ләкин ул шулай ук БСО аңа каршы торыр өчен күп вакыт кирәклеген белә.	Trump may well understand that what he proposes will violate World Trade Organization rules, but he may also know that it will take a long time for the WTO to rule against him.
27	Ал ол уақытқа дейін, Американың сауда шоты қайта балансқа келуі мүмкін.	Ә Был Ваҡытҡа Американың сауҙа иҫәбе балансҡа әйләнеп ҡайта ала.	And by that time, America's trading account could be back on balance.	А к тому времени торговый счет Америки может вернуться на баланс.	Ул вакытта Американың сәүдә счеты баланска кире кайтырга мөмкин.	And by then, America’s trade account may have been rebalanced.
28	Бірақ бұл ойынды екі жақ та ойнай алады: Қытай, ұқсас әрекеттерді жасай алады, бірақ оның жауабы шеберлеу болуы мүмкін.	Әммә ике яҡ та был уйында уйнай ала: ҡытайҙар оҡшаш әйберҙәр эшләй ала, әммә яуап оҫта була ала.	But this game can be played by both sides: China, can perform similar actions, but the answer may be mastery.	Но обе стороны могут играть в эту игру: китайцы могут делать аналогичные вещи, но ответ может быть мастерским.	Ләкин ике як та бу уенны уйный ала: кытайлар да шундый ук эш эшли алалар, ләкин җавап оста булырга мөмкин.	But two can play that game: China can take similar actions, though its response is likely to be more subtle.
29	Бірақ сауда соғысы орын алса, қандай болар еді?	Әммә сауҙа һуғышы булған осраҡта нимә булыр ине?	But what would it be like if a trade war happened?	Но что было бы, если бы произошла торговая война?	Ләкин сәүдә сугышы булса, нәрсә булыр иде?	If a trade war were to break out, what would happen?
30	Трамптың жеңе аламын деп ойлауында негіз болуы мүмкін; өйткені, Қытай АҚШ-қа экспорт бойынша тәуелдірек болып табылады, бұл әрине АҚШ-қа артықшылық береді.	Трамптың ул еңә ала тип уйлауы мөмкин; ахыр сиктә, Ҡытай өҫтәрәк ҡушыла независимый экспорт буйынса АҠШ, был, ҺИС шикһеҙ, бирә АҠШ өҫтөнлөк.	Trump may have reason to think he can win; after all, China is more dependent on the US in terms of exports, which of course gives the US an advantage.	У Трампа могут быть основания полагать, что он может победить; в конце концов, Китай является более независимым по экспорту в США, что, безусловно, дает США преимущество.	Трамп җиңә ала дип ышанырга нигез булырга мөмкин; Кытай АКШка экспорт буенча мөстәкыйль, бу, әлбәттә, АКШка өстенлек бирә.	Trump may have reason to think he could win; after all, China is more dependent on exports to the US than the US is on exports to China, which gives the US an advantage.
